cell,build,N,r,seed,role,prompt_tokens,prompt_len_mod_grid,tail_chunk_len,tail_step_graph_mode,prefill_chunks,corrupted,http_status,corrupted_counter_delta,prefix_hit_tokens,input_sha256,input_note,cache_salt,output_sha256,request_outcome
B-frozen-r6-N20,unfixed,20,6,0,A,16326,6,6,FULL,8160:NONE|8160:NONE|6:FULL,0,200,0.0,0,cd8d095542a6e0689dd82e9c485a1412c009472848a803323a515782fe5c19cb,frozen: identical ids sent to every arm,,79a37a733244c0ec26008eb714705b8d4fd44be3b79b5dc2847495a0ad884940,completed
B-frozen-r6-N20,unfixed,20,6,0,B,18626,674,674,NONE,1632:NONE|674:NONE,0,200,0.0,16320,739359cc4f67003e09a4b1dcf3d982a2104d45d0ed64ba92caab1e02d083e9eb,frozen: identical ids sent to every arm,,0df17657cf44bf1085d9f4dff0c7ee479daf563bf9d382c7ada6f2b8d4e0bc22,completed
B-frozen-r6-N20,unfixed,20,6,0,B-salted,18626,674,674,NONE,8160:NONE|8160:NONE|1632:NONE|674:NONE,0,200,0.0,0,739359cc4f67003e09a4b1dcf3d982a2104d45d0ed64ba92caab1e02d083e9eb,frozen: identical ids sent to every arm,frozen-6-0-20,0df17657cf44bf1085d9f4dff0c7ee479daf563bf9d382c7ada6f2b8d4e0bc22,completed
B-frozen-r6-N20,unfixed,20,6,1,A,16326,6,6,FULL,8160:NONE|8160:NONE|6:FULL,1,400,1.0,0,cbeeac72885974b7453e9825a439ceb4de52fd35b8c53c76420f7c754aed36b4,frozen: identical ids sent to every arm,,,corrupted
B-frozen-r6-N20,unfixed,20,6,1,B,18626,674,674,NONE,1632:NONE|674:NONE,1,400,1.0,16320,2ef571dd5d694898db2d49d961778d1bda2cc603a02a26d56466098458a546f1,frozen: identical ids sent to every arm,,,corrupted
B-frozen-r6-N20,unfixed,20,6,1,B-salted,18626,674,674,NONE,8160:NONE|8160:NONE|1632:NONE|674:NONE,0,200,0.0,0,2ef571dd5d694898db2d49d961778d1bda2cc603a02a26d56466098458a546f1,frozen: identical ids sent to every arm,frozen-6-1-20,1dc5ac6f70944a9682f16867c55ae7faf74a093f7ef04c1c49c7ae31972b2923,completed
B-frozen-r6-N20,unfixed,20,6,2,A,16326,6,6,FULL,8160:NONE|8160:NONE|6:FULL,1,400,1.0,0,5eb58df28ebad615a82af61a2fe930aab5dce9bc73e4df66b350bf1b718ea2f6,frozen: identical ids sent to every arm,,,corrupted
B-frozen-r6-N20,unfixed,20,6,2,B,18626,674,674,NONE,1632:NONE|674:NONE,1,400,1.0,16320,7fa6988b460e4b687eff038a7e268222c5c70a49347f5a801f1f8d3e4aa44332,frozen: identical ids sent to every arm,,,corrupted
B-frozen-r6-N20,unfixed,20,6,2,B-salted,18626,674,674,NONE,8160:NONE|8160:NONE|1632:NONE|674:NONE,0,200,0.0,0,7fa6988b460e4b687eff038a7e268222c5c70a49347f5a801f1f8d3e4aa44332,frozen: identical ids sent to every arm,frozen-6-2-20,3e3c98f151d515d07a1beb08c2eebea84beca9ea3026ba73f122a36a3e3633c9,completed
B-frozen-r6-N20,fixed,20,6,0,A,16326,6,6,PIECEWISE,8160:NONE|8160:NONE|6:PIECEWISE,0,200,0.0,0,cd8d095542a6e0689dd82e9c485a1412c009472848a803323a515782fe5c19cb,frozen: identical ids sent to every arm,,8c90a59cafa4d7df16f3bba8a6edf01ff092a6f10f591616c95c440148e3f2e3,completed
